date,dengue,sintomas_de_dengue,mosquito,dengue_sintomas
2004-01-01,6,0,57,0
2004-02-01,8,0,51,0
2004-03-01,3,0,30,14
2004-04-01,5,0,80,0
2004-05-01,2,0,21,0
2004-06-01,15,0,43,0
2004-07-01,10,0,73,0
2004-08-01,10,0,0,9
2004-09-01,8,22,15,0
2004-10-01,23,0,33,7
2004-11-01,16,0,85,0
2004-12-01,8,0,78,0
2005-01-01,3,0,15,0
2005-02-01,6,0,43,0
2005-03-01,6,0,0,0
2005-04-01,11,0,27,0
2005-05-01,7,0,24,0
2005-06-01,8,0,86,6
2005-07-01,14,0,55,0
2005-08-01,19,0,23,10
2005-09-01,17,14,47,4
2005-10-01,28,0,18,8
2005-11-01,18,0,19,0
2005-12-01,9,0,33,0
2006-01-01,3,0,55,0
2006-02-01,4,0,17,0
2006-03-01,8,0,36,0
2006-04-01,11,0,51,0
2006-05-01,13,0,41,3
2006-06-01,8,11,74,3
2006-07-01,11,12,32,4
2006-08-01,11,10,40,6
2006-09-01,19,17,72,3
2006-10-01,20,8,89,10
2006-11-01,19,0,22,0
2006-12-01,12,0,20,3
2007-01-01,8,0,43,2
2007-02-01,7,0,37,0
2007-03-01,13,0,32,8
2007-04-01,12,0,50,2
2007-05-01,13,17,50,5
2007-06-01,13,6,61,2
2007-07-01,9,6,55,6
2007-08-01,11,16,29,5
2007-09-01,21,5,33,13
2007-10-01,39,22,64,19
2007-11-01,24,14,22,19
2007-12-01,12,5,30,5
2008-01-01,9,4,28,6
2008-02-01,10,0,29,4
2008-03-01,6,4,57,1
2008-04-01,10,8,57,7
2008-05-01,13,0,44,5
2008-06-01,15,0,45,4
2008-07-01,8,4,30,5
2008-08-01,12,11,45,10
2008-09-01,19,7,39,15
2008-10-01,22,15,42,15
2008-11-01,16,0,37,5
2008-12-01,7,4,40,5
2009-01-01,9,13,49,6
2009-02-01,8,0,20,0
2009-03-01,10,3,20,5
2009-04-01,9,10,36,4
2009-05-01,17,3,42,5
2009-06-01,11,3,43,3
2009-07-01,7,15,30,2
2009-08-01,16,6,22,13
2009-09-01,49,56,71,45
2009-10-01,69,36,82,46
2009-11-01,43,50,42,28
2009-12-01,18,19,47,14
2010-01-01,7,11,38,4
2010-02-01,10,5,32,3
2010-03-01,12,3,28,4
2010-04-01,13,5,50,3
2010-05-01,12,13,44,10
2010-06-01,12,3,33,5
2010-07-01,16,13,52,15
2010-08-01,21,13,54,16
2010-09-01,17,30,77,13
2010-10-01,16,19,31,18
2010-11-01,14,14,38,14
2010-12-01,10,8,35,7
2011-01-01,6,2,35,2
2011-02-01,5,4,28,1
2011-03-01,9,8,37,2
2011-04-01,8,12,43,6
2011-05-01,7,3,39,5
2011-06-01,7,8,34,4
2011-07-01,7,8,51,11
2011-08-01,8,10,37,7
2011-09-01,15,9,47,8
2011-10-01,15,10,35,9
2011-11-01,12,5,43,6
2011-12-01,7,6,33,4
