lag,ccf,geo,predictor,processing
0,0.9614057344828706,BR,dengue,raw
1,0.9274495208496569,BR,dengue,raw
2,0.8750057156704859,BR,dengue,raw
3,0.8115904992265003,BR,dengue,raw
4,0.7436075576832918,BR,dengue,raw
5,0.6682878934433059,BR,dengue,raw
6,0.5829634277574663,BR,dengue,raw
7,0.48727889351831294,BR,dengue,raw
8,0.3925546150361903,BR,dengue,raw
9,0.30129640988981504,BR,dengue,raw
10,0.21622507848713726,BR,dengue,raw
11,0.14009703448564576,BR,dengue,raw
12,0.07072290664643649,BR,dengue,raw
0,0.8054524497183774,BR,dengue,processed
1,0.7396065631028184,BR,dengue,processed
2,0.6612464013908625,BR,dengue,processed
3,0.5750868061277613,BR,dengue,processed
4,0.4828289642776589,BR,dengue,processed
5,0.38598110326498974,BR,dengue,processed
6,0.2849104360828031,BR,dengue,processed
7,0.18524567891452068,BR,dengue,processed
8,0.09283187293097742,BR,dengue,processed
9,0.011195120304534402,BR,dengue,processed
10,-0.059566768673481006,BR,dengue,processed
11,-0.1193820577031548,BR,dengue,processed
12,-0.17228189058540136,BR,dengue,processed
0,0.9129582139636262,BR,mosquito,raw
1,0.8937014921314957,BR,mosquito,raw
2,0.8591251213507674,BR,mosquito,raw
3,0.8179960472907358,BR,mosquito,raw
4,0.7743816347808906,BR,mosquito,raw
5,0.7197331743699085,BR,mosquito,raw
6,0.6488281822136714,BR,mosquito,raw
7,0.562970309334147,BR,mosquito,raw
8,0.477263749361167,BR,mosquito,raw
9,0.3901876813804185,BR,mosquito,raw
10,0.30799069455363026,BR,mosquito,raw
11,0.23025174012980484,BR,mosquito,raw
12,0.1584944430045096,BR,mosquito,raw
0,0.8306006695525056,BR,mosquito,processed
1,0.7891310740454498,BR,mosquito,processed
2,0.7351076238031162,BR,mosquito,processed
3,0.6715164486584164,BR,mosquito,processed
4,0.598473792218723,BR,mosquito,processed
5,0.515943573527606,BR,mosquito,processed
6,0.4251949104068931,BR,mosquito,processed
7,0.3320962550406927,BR,mosquito,processed
8,0.24299903862731317,BR,mosquito,processed
9,0.16022995022248912,BR,mosquito,processed
10,0.08547407685159561,BR,mosquito,processed
11,0.019390944933811285,BR,mosquito,processed
12,-0.03994350523772342,BR,mosquito,processed
0,0.8762418855863336,BR,sintomas_de_dengue,raw
1,0.8675019401962498,BR,sintomas_de_dengue,raw
2,0.8278869017170286,BR,sintomas_de_dengue,raw
3,0.7737375443226765,BR,sintomas_de_dengue,raw
4,0.7060055990882351,BR,sintomas_de_dengue,raw
5,0.6392712448334223,BR,sintomas_de_dengue,raw
6,0.5674831988368609,BR,sintomas_de_dengue,raw
7,0.493913646246747,BR,sintomas_de_dengue,raw
8,0.41217840092946423,BR,sintomas_de_dengue,raw
9,0.336166861518168,BR,sintomas_de_dengue,raw
10,0.25337485672751037,BR,sintomas_de_dengue,raw
11,0.17674765380209598,BR,sintomas_de_dengue,raw
12,0.111198707398713,BR,sintomas_de_dengue,raw
0,0.7405934208046406,BR,sintomas_de_dengue,processed
1,0.6863040483312159,BR,sintomas_de_dengue,processed
2,0.6143651128101816,BR,sintomas_de_dengue,processed
3,0.5330474172882663,BR,sintomas_de_dengue,processed
4,0.4457398204360848,BR,sintomas_de_dengue,processed
5,0.3570660128755635,BR,sintomas_de_dengue,processed
6,0.2653301979772802,BR,sintomas_de_dengue,processed
7,0.17389179367609642,BR,sintomas_de_dengue,processed
8,0.08429360925995079,BR,sintomas_de_dengue,processed
9,0.0025760494328906343,BR,sintomas_de_dengue,processed
10,-0.07277093010280437,BR,sintomas_de_dengue,processed
11,-0.13863867104056923,BR,sintomas_de_dengue,processed
12,-0.19778896913129598,BR,sintomas_de_dengue,processed
