step,series,metric,value,detail,snr,r2
aggregation,NA,mean_pct_zeros_before,0,NA,NA,NA
aggregation,NA,mean_pct_zeros_after,0,NA,NA,NA
denoising,cluster_1__influenza+flu,snr_pre,NA,NA,0.44135803987258176,NA
denoising,cluster_1__influenza+flu,snr_pre_db,NA,NA,-3.5520895780328883,NA
denoising,cluster_1__influenza+flu,snr_post,NA,NA,5.157907630362024,NA
denoising,cluster_1__influenza+flu,snr_post_db,NA,NA,7.124735603720488,NA
denoising,fever,snr_pre,NA,NA,0.43249215125661955,NA
denoising,fever,snr_pre_db,NA,NA,-3.6402176957921224,NA
denoising,fever,snr_post,NA,NA,2.6325888216217206,NA
denoising,fever,snr_post_db,NA,NA,4.203830328829516,NA
detrending,cluster_1__influenza+flu,r2_trend_before,NA,deterministic_quadratic,NA,0.015359438908129871
detrending,cluster_1__influenza+flu,r2_trend_after,NA,deterministic_quadratic,NA,1.5235845215914714e-31
detrending,fever,r2_trend_before,NA,stochastic_diff,NA,0.09872041384689231
detrending,fever,r2_trend_after,NA,stochastic_diff,NA,0.0030884546437918562
